"","Country","Ladder","GDP","Support","LifeExp","Freedom","PosAffect","NegAffect","Continent","AA","Asia","Africa","Americas"
"130","Uganda",4.23326110839844,1746.42699543583,0.753540217876434,51.4619293212891,0.739409744739532,0.667976140975952,0.410066664218903,"Africa",TRUE,FALSE,TRUE,FALSE
"131","Ukraine",4.02869033813477,7551.31302694576,0.884961366653442,63.2136039733887,0.502541899681091,0.588721692562103,0.219624251127243,"Europe",FALSE,FALSE,FALSE,FALSE
"132","United Arab Emirates",6.83095026016235,66908.9990987702,0.84937983751297,68.5103607177734,0.949119508266449,0.775128483772278,0.244667902588844,"Asia",TRUE,TRUE,FALSE,FALSE
"133","United Kingdom",6.82428359985352,39000.6242548601,0.954068183898926,71.1389617919922,0.821192145347595,0.775853157043457,0.229586780071259,"Europe",FALSE,FALSE,FALSE,FALSE
"134","United States",6.80359983444214,53088.0100740485,0.896751284599304,70.1253509521484,0.757893085479736,0.805673539638519,0.264203816652298,"North America",FALSE,FALSE,FALSE,TRUE
"135","Uruguay",6.17148542404175,20028.7574582694,0.900380909442902,68.2526168823242,0.886371910572052,0.84154886007309,0.283180266618729,"South America",FALSE,FALSE,FALSE,TRUE
"136","Uzbekistan",5.89253902435303,5955.34974743567,0.945102155208588,60.6225738525391,0.983803033828735,0.841676294803619,0.146897658705711,"Asia",TRUE,TRUE,FALSE,FALSE
"137","Venezuela",4.04111480712891,13822.577304617,0.901949286460876,64.7492599487305,0.457601577043533,0.688201248645782,0.391754120588303,"South America",FALSE,FALSE,FALSE,TRUE
"138","Vietnam",5.0622673034668,5955.79276211239,0.876323580741882,65.942138671875,0.894351124763489,0.536225736141205,0.222550198435783,"Asia",TRUE,TRUE,FALSE,FALSE
"139","Yemen",3.82563090324402,2325.1,0.775407016277313,54.2426300048828,0.532964050769806,0.469345390796661,0.227924525737762,"Asia",TRUE,TRUE,FALSE,FALSE
"140","Zambia",4.34754371643066,3635.97723388396,0.767046630382538,52.8893241882324,0.811574518680573,0.730679512023926,0.372240722179413,"Africa",TRUE,FALSE,TRUE,FALSE
"141","Zimbabwe",3.73540019989014,1672.89003256095,0.768425405025482,51.7279090881348,0.732971489429474,0.737635910511017,0.208554923534393,"Africa",TRUE,FALSE,TRUE,FALSE
